,Feature,importance
1176,MWC6,0.0001371966539513278
935,ETA_BetaP_ns,0.00013662249368461766
156,AATSC4e,0.0001361108366614041
392,AVP-4,0.00013610363708331554
403,Mse,0.00013587207517394066
96,ATSC0e,0.0001357290892471208
314,SpMin6_Bhm,0.00013493203343531668
1342,RDF55u,0.00013436755623339445
607,SsOH,0.0001336181966506259
1470,RDF95p,0.000133189390571877
1245,TDB3p,0.00013299584923900075
1003,ZMIC4,0.00013281722022993485
1491,RDF50i,0.0001320209812965692
1547,P2u,0.0001318270566373162
1017,MDEC-22,0.00013171574439106785
1084,nTRing,0.00013164665636335778
1559,P1m,0.00013153584151255856
32,AATS5v,0.00013149820399757433
1310,RHSA,0.0001314682522143407
1611,P1i,0.00013115444572013688
195,MATS1e,0.00013050231394858117
73,ATSC3c,0.0001299258103305616
